"path","size_bytes","size_mib","over_50_mib","over_100_mib"
".gitattributes","218","0.000208","False","False"
".github/workflows/ci.yml","2512","0.002396","False","False"
".gitignore","1204","0.001148","False","False"
"05_run_transformer_3seed_stability_audit.ps1","23337","0.022256","False","False"
"06_run_class_weighted_transformer_3seed_challenger.ps1","30985","0.02955","False","False"
"CHANGELOG.md","1534","0.001463","False","False"
"configs/data_quality_rules.yaml","279","0.000266","False","False"
"configs/data_sources.yaml","215","0.000205","False","False"
"configs/drift_scenarios.yaml","200","0.000191","False","False"
"configs/evidence_quality.yaml","132","0.000126","False","False"
"configs/launch_gate.yaml","970","0.000925","False","False"
"configs/model_selection.yaml","458","0.000437","False","False"
"configs/model_zoo.yaml","318","0.000303","False","False"
"configs/monte_carlo.yaml","1719","0.001639","False","False"
"configs/product_taxonomy.yaml","780","0.000744","False","False"
"dashboard/app.py","3434","0.003275","False","False"
"data/interim/.gitkeep","1","1E-06","False","False"
"data/synthetic/.gitkeep","1","1E-06","False","False"
"DATASET_RUNNABILITY_VALIDATION.md","4965","0.004735","False","False"
"docs/artifacts/final_evaluation/baseline_3seed_metrics.csv","1373","0.001309","False","False"
"docs/artifacts/final_evaluation/baseline_3seed_summary.csv","1066","0.001017","False","False"
"docs/artifacts/final_evaluation/baseline_stability_decision.json","2363","0.002254","False","False"
"docs/artifacts/final_evaluation/baseline_stability_report.md","5235","0.004992","False","False"
"docs/artifacts/final_evaluation/candidate_test_evaluation.json","1126","0.001074","False","False"
"docs/artifacts/final_evaluation/class_weight_metadata.json","1408","0.001343","False","False"
"docs/artifacts/final_evaluation/launch_gate_result.json","1628","0.001553","False","False"
"docs/artifacts/final_evaluation/manifest.json","5233","0.004991","False","False"
"docs/artifacts/final_evaluation/model_selection_decision.json","2778","0.002649","False","False"
"docs/artifacts/final_evaluation/model_selection_leaderboard.csv","1207","0.001151","False","False"
"docs/artifacts/final_evaluation/model_test_leaderboard.csv","1305","0.001245","False","False"
"docs/artifacts/final_evaluation/paired_baseline_vs_weighted.csv","2027","0.001933","False","False"
"docs/artifacts/final_evaluation/paired_delta_summary.csv","985","0.000939","False","False"
"docs/artifacts/final_evaluation/README.md","300","0.000286","False","False"
"docs/artifacts/final_evaluation/transformer_training_provenance.json","1418","0.001352","False","False"
"docs/artifacts/final_evaluation/weighted_challenger_decision.json","5910","0.005636","False","False"
"docs/artifacts/final_evaluation/weighted_challenger_report.md","8209","0.007829","False","False"
"docs/cleanup_report.json","2467","0.002353","False","False"
"docs/EXPERIMENTAL_EVIDENCE.md","1203","0.001147","False","False"
"docs/FINAL_MODEL_DECISION.md","1804","0.00172","False","False"
"docs/GITHUB_RELEASE_CHECKLIST.md","927","0.000884","False","False"
"docs/gitignore_verification.csv","967","0.000922","False","False"
"docs/initial_commit_file_audit.csv","11680","0.011139","False","False"
"docs/release_readiness.json","764","0.000729","False","False"
"docs/REPRODUCIBILITY.md","1165","0.001111","False","False"
"docs/SELECTION_TEST_LAUNCH_SEMANTICS.md","590","0.000563","False","False"
"docs/tracked_large_file_audit.csv","50","4.8E-05","False","False"
"gpu-constraints.txt","14","1.3E-05","False","False"
"LICENSE","1067","0.001018","False","False"
"LOCAL_GITHUB_RUNNABLE_AUDIT.md","3556","0.003391","False","False"
"Makefile","1489","0.00142","False","False"
"monte_carlo/reports/monte_carlo_validation_report.md","6434","0.006136","False","False"
"MONTE_CARLO_VALIDATION.md","2439","0.002326","False","False"
"PUBLIC_DATA_SMALL_SAMPLE_VALIDATION.md","854","0.000814","False","False"
"pyproject.toml","1234","0.001177","False","False"
"README.md","10802","0.010302","False","False"
"reports/calibration_report.md","614","0.000586","False","False"
"reports/data_card.md","10107","0.009639","False","False"
"reports/data_quality_report.md","1795","0.001712","False","False"
"reports/drift_report.md","360","0.000343","False","False"
"reports/evidence_quality_report.md","565","0.000539","False","False"
"reports/executive_summary.md","12763","0.012172","False","False"
"reports/genai_telemetry_report.md","6988","0.006664","False","False"
"reports/launch_decision_memo.md","5041","0.004807","False","False"
"reports/model_card.md","7060","0.006733","False","False"
"reports/model_quality_report.md","5463","0.00521","False","False"
"reports/split_integrity_report.md","3988","0.003803","False","False"
"requirements.txt","267","0.000255","False","False"
"requirements-ci.txt","70","6.7E-05","False","False"
"requirements-core.txt","267","0.000255","False","False"
"requirements-gpu.txt","268","0.000256","False","False"
"run_cfpb_gpu_validation.ps1","5459","0.005206","False","False"
"run_end_to_end_model_quality.ps1","25109","0.023946","False","False"
"scripts/__init__.py","0","0","False","False"
"scripts/dataset_preflight.py","3412","0.003254","False","False"
"scripts/finalize_selection_launch_semantics.py","20205","0.019269","False","False"
"scripts/gpu_preflight.py","3422","0.003263","False","False"
"scripts/project_audit.py","6068","0.005787","False","False"
"scripts/run_dataset_audit.py","3842","0.003664","False","False"
"scripts/run_full_pipeline.py","24362","0.023233","False","False"
"scripts/run_full_pipeline_with_semantics.py","3029","0.002889","False","False"
"scripts/run_monte_carlo.py","19406","0.018507","False","False"
"SMALL_DATA_VALIDATION.md","2616","0.002495","False","False"
"src/model_quality/__init__.py","1","1E-06","False","False"
"src/model_quality/drift/__init__.py","1","1E-06","False","False"
"src/model_quality/drift/ks_test.py","675","0.000644","False","False"
"src/model_quality/drift/psi.py","1296","0.001236","False","False"
"src/model_quality/drift/stress_injection.py","2282","0.002176","False","False"
"src/model_quality/evaluation/__init__.py","75","7.2E-05","False","False"
"src/model_quality/evaluation/calibration_metrics.py","2019","0.001925","False","False"
"src/model_quality/evaluation/classification_metrics.py","2538","0.00242","False","False"
"src/model_quality/evaluation/label_alignment.py","804","0.000767","False","False"
"src/model_quality/evaluation/model_selection.py","2838","0.002707","False","False"
"src/model_quality/evaluation/slice_metrics.py","1094","0.001043","False","False"
"src/model_quality/evaluation/uncertainty.py","2203","0.002101","False","False"
"src/model_quality/features/__init__.py","1","1E-06","False","False"
"src/model_quality/features/label_policy.py","3601","0.003434","False","False"
"src/model_quality/features/product_taxonomy.py","2748","0.002621","False","False"
"src/model_quality/features/split_builder.py","2755","0.002627","False","False"
"src/model_quality/gates/__init__.py","1","1E-06","False","False"
"src/model_quality/gates/quality_gate.py","5939","0.005664","False","False"
"src/model_quality/ingestion/__init__.py","1","1E-06","False","False"
"src/model_quality/ingestion/load_cfpb.py","19052","0.018169","False","False"
"src/model_quality/models/__init__.py","1","1E-06","False","False"
"src/model_quality/models/train_lightgbm.py","2414","0.002302","False","False"
"src/model_quality/models/train_logistic.py","5369","0.00512","False","False"
"src/model_quality/models/train_transformer.py","14272","0.013611","False","False"
"src/model_quality/reporting/__init__.py","1","1E-06","False","False"
"src/model_quality/reporting/write_reports.py","6832","0.006516","False","False"
"src/model_quality/retrieval/__init__.py","1","1E-06","False","False"
"src/model_quality/retrieval/bm25_retriever.py","1439","0.001372","False","False"
"src/model_quality/retrieval/cross_encoder_reranker.py","4507","0.004298","False","False"
"src/model_quality/retrieval/evidence_metrics.py","7246","0.00691","False","False"
"src/model_quality/risk/__init__.py","0","0","False","False"
"src/model_quality/risk/human_review.py","1342","0.00128","False","False"
"src/model_quality/simulation/__init__.py","152","0.000145","False","False"
"src/model_quality/simulation/scenarios.py","1175","0.001121","False","False"
"src/model_quality/telemetry/__init__.py","1","1E-06","False","False"
"src/model_quality/telemetry/evaluate_telemetry.py","554","0.000528","False","False"
"src/model_quality/telemetry/generate_genai_telemetry.py","2321","0.002213","False","False"
"src/model_quality/tracking/__init__.py","1","1E-06","False","False"
"src/model_quality/tracking/mlflow_logger.py","3945","0.003762","False","False"
"src/model_quality/utils.py","2193","0.002091","False","False"
"src/model_quality/validation/__init__.py","1","1E-06","False","False"
"src/model_quality/validation/quality_metrics.py","3845","0.003667","False","False"
"src/model_quality/validation/split_integrity.py","7916","0.007549","False","False"
"STRENGTHENING_LOOP_REPORT.md","6791","0.006476","False","False"
"tests/test_cross_encoder_batching.py","936","0.000893","False","False"
"tests/test_cross_encoder_fallback.py","434","0.000414","False","False"
"tests/test_data_quality.py","553","0.000527","False","False"
"tests/test_dataset_readiness.py","2388","0.002277","False","False"
"tests/test_drift.py","454","0.000433","False","False"
"tests/test_drift_injection.py","485","0.000463","False","False"
"tests/test_evidence_metrics.py","887","0.000846","False","False"
"tests/test_evidence_uplift.py","956","0.000912","False","False"
"tests/test_gate_severity.py","1003","0.000957","False","False"
"tests/test_gpu_preflight_optional.py","509","0.000485","False","False"
"tests/test_heldout_calibration.py","894","0.000853","False","False"
"tests/test_human_review.py","574","0.000547","False","False"
"tests/test_label_policy.py","441","0.000421","False","False"
"tests/test_label_policy_training_only.py","883","0.000842","False","False"
"tests/test_metrics.py","329","0.000314","False","False"
"tests/test_missing_like_quality.py","924","0.000881","False","False"
"tests/test_mlflow_fallback.py","853","0.000813","False","False"
"tests/test_model_selection.py","520","0.000496","False","False"
"tests/test_monte_carlo_champion_stability.py","658","0.000628","False","False"
"tests/test_monte_carlo_integrity.py","2141","0.002042","False","False"
"tests/test_monte_carlo_scenarios.py","851","0.000812","False","False"
"tests/test_multiclass_partial_coverage.py","892","0.000851","False","False"
"tests/test_primary_task_selection.py","660","0.000629","False","False"
"tests/test_product_taxonomy.py","956","0.000912","False","False"
"tests/test_public_sampling.py","1942","0.001852","False","False"
"tests/test_quality_gate.py","1344","0.001282","False","False"
"tests/test_retrieval.py","319","0.000304","False","False"
"tests/test_selection_protocol.py","1354","0.001291","False","False"
"tests/test_source_schema_quality.py","1310","0.001249","False","False"
"tests/test_split_integrity.py","1078","0.001028","False","False"
"tests/test_split_integrity_record_identity.py","1562","0.00149","False","False"
"tests/test_transformer_best_checkpoint_provenance.py","1069","0.001019","False","False"
"tests/test_transformer_device.py","254","0.000242","False","False"
"tests/test_uncertainty.py","887","0.000846","False","False"
"tests/test_unseen_labels.py","1384","0.00132","False","False"
